ID,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,Grade Point 
610130,715,705,717,716,726,704,707,708,711,709,710,731,742,712,713,722,702,725,706,79.5
610131,712,717,709,715,705,722,707,704,726,725,716,711,708,713,702,731,742,710,706,122
610132,717,725,712,722,704,742,702,707,709,731,708,713,706,710,711,726,715,716,705,111
610133,707,711,712,722,702,704,709,725,731,717,705,715,726,742,708,713,710,716,706,118.5
610134,709,707,712,704,722,725,717,702,705,711,716,715,726,708,713,710,731,742,706,137
610135,717,726,715,742,731,707,712,708,704,709,711,713,725,722,702,716,710,705,706,75
610136,704,717,722,702,708,715,705,742,713,726,709,731,707,711,712,706,710,725,716,86
610137,731,702,704,715,742,717,713,712,709,716,707,705,722,725,726,711,706,708,710,121
610138,704,707,712,717,709,702,726,722,725,711,742,731,705,708,713,716,715,710,706,134
610139,712,717,702,704,707,722,716,711,713,709,725,742,705,731,726,708,710,715,706,104.5
610140,707,722,717,742,726,731,713,725,702,716,712,715,708,711,704,705,709,710,706,103
610141,711,716,705,722,725,708,710,713,707,742,706,712,709,704,731,702,717,715,726,121
610142,722,704,715,726,717,731,742,725,707,708,712,711,716,709,713,705,706,702,710,78
610143,712,725,711,707,722,704,709,742,705,702,716,713,717,731,708,706,710,726,715,121
610144,707,712,704,717,722,731,742,725,709,702,708,716,713,715,726,710,711,706,705,125
610145,705,707,702,716,722,725,711,712,709,717,704,742,715,708,731,726,713,710,706,130
610146,711,722,742,731,726,702,704,725,712,713,707,715,708,717,716,709,705,710,706,124
610147,731,715,702,704,742,716,709,705,726,707,712,711,713,717,722,708,725,710,706,107.5
610148,707,712,742,713,709,705,715,731,726,722,708,717,716,704,702,711,725,710,706,105.5
610149,717,731,742,702,705,704,708,712,711,715,707,722,726,725,716,713,710,709,706,114.5
610150,707,722,725,712,726,715,742,702,704,705,708,710,711,713,709,717,731,716,706,144.5
610151,725,711,707,712,717,742,722,702,709,731,715,713,704,716,726,705,706,708,710,161.5
610152,707,725,711,705,704,715,709,706,702,726,722,742,731,713,710,708,716,717,712,138
610153,702,722,704,725,707,716,711,712,709,717,731,705,710,708,726,742,715,713,706,182.5
610154,717,722,702,704,713,712,711,707,725,705,716,715,709,742,708,710,726,731,706,116
610155,706,705,704,715,726,708,710,731,716,707,713,725,702,712,711,717,709,722,742,94
610156,704,707,722,725,717,726,715,708,710,702,731,711,712,706,713,716,709,742,705,103
610157,705,709,711,712,702,704,717,722,725,731,742,713,708,707,715,716,726,710,706,109.5
610158,705,702,717,711,707,725,713,716,722,712,709,704,726,715,708,710,731,742,706,134.5
610159,705,709,742,716,717,704,725,702,712,711,713,715,708,731,726,710,722,707,706,105
610160,704,717,722,702,731,707,705,712,716,711,725,710,713,742,726,709,708,706,715,73
610161,717,722,704,716,731,707,712,709,715,713,711,708,725,726,702,705,742,706,710,95.5
610162,717,704,715,742,731,713,707,710,708,702,712,722,725,711,709,716,705,706,726,92
610163,731,705,715,713,716,708,709,704,711,725,722,742,712,702,706,726,717,707,710,70
610164,717,702,704,726,715,708,713,710,722,712,705,725,709,716,711,707,731,742,706,111
610165,707,712,717,704,702,722,725,731,713,705,709,711,715,742,716,708,706,710,726,117
610166,717,707,702,712,722,726,704,709,705,715,716,742,731,708,710,711,725,706,713,103.5
610167,,,,,,,,,,,,,,,,,,,,14
610168,712,731,742,715,707,705,717,704,725,702,722,710,726,708,713,706,716,709,711,76.5
610169,707,725,722,704,742,712,702,717,705,711,713,716,709,715,726,731,710,708,706,127.5
610170,725,704,709,707,702,722,716,742,731,717,705,708,711,726,715,713,712,710,706,165.5
610171,711,709,712,705,707,717,722,715,704,716,725,702,742,726,731,708,710,713,706,148
610172,711,716,717,712,707,722,742,731,704,725,705,715,726,709,702,706,713,708,710,125.5
610173,717,722,702,704,715,731,716,712,709,708,713,726,705,711,706,710,707,725,742,113.5
610174,712,711,707,717,704,709,713,722,702,726,731,710,706,708,715,716,725,705,742,143.5
610175,704,717,712,731,713,707,709,716,702,711,706,715,722,725,726,742,708,710,705,123
610176,742,731,707,705,702,722,717,712,704,709,716,708,713,710,711,715,726,725,706,105.5
610177,712,702,717,704,709,726,731,715,707,716,722,705,708,725,711,713,710,742,706,128.5
610178,717,709,702,713,704,705,715,726,716,722,707,725,711,712,731,742,708,710,706,94
610179,,,,,,,,,,,,,,,,,,,,63
610180,704,717,705,709,702,716,706,725,722,742,707,711,712,713,715,708,710,731,726,104.5
610181,707,722,705,711,712,742,725,731,704,710,713,717,702,709,716,715,706,708,726,109
610182,707,711,712,722,702,709,716,717,704,713,731,726,715,725,708,710,742,705,706,112
610183,717,704,705,707,702,711,725,722,716,715,709,713,712,726,742,731,708,710,706,100.5
610184,702,742,731,712,715,726,708,707,725,722,713,717,704,710,709,705,711,716,706,112.5
610185,725,707,722,712,705,706,711,742,702,716,717,726,709,715,704,731,713,710,708,113
610186,725,717,712,711,707,709,722,704,705,715,706,702,731,708,742,713,710,716,726,154
610187,711,712,725,707,742,717,715,722,731,716,702,726,704,709,713,705,710,708,706,174.5
610188,707,731,705,716,717,725,722,742,704,702,709,711,712,713,726,708,715,706,710,69.5
610189,725,704,717,710,715,708,709,726,702,707,722,731,711,716,705,742,712,713,706,110.5
610190,708,715,702,705,726,704,716,710,713,731,709,712,717,706,707,742,722,725,711,79
610191,725,717,704,715,707,712,742,731,702,705,722,708,706,726,710,713,716,709,711,113.5
610192,712,711,707,717,704,725,722,709,716,713,705,715,702,726,731,742,708,710,706,140.5
610193,706,715,742,707,708,710,702,726,713,704,717,722,725,731,709,711,712,705,716,151
610194,717,705,712,702,716,707,708,713,711,710,704,722,725,709,742,706,715,731,726,81.5
610195,717,702,725,742,704,726,709,711,712,707,731,713,705,708,722,715,710,706,716,103.5
610196,707,711,717,704,706,712,702,709,715,731,742,725,722,716,708,713,710,726,705,130.5
610197,717,707,711,715,702,704,722,706,712,705,709,713,710,708,725,742,726,731,716,112
610198,731,715,716,705,742,711,717,712,707,722,704,725,702,709,708,710,713,726,706,99
610199,704,731,717,702,709,715,711,725,712,716,707,742,713,722,705,726,708,710,706,73.5
610200,742,731,710,715,717,706,702,716,708,711,709,713,712,725,726,705,722,704,707,108.5
610201,705,709,742,702,722,704,716,731,717,725,707,711,712,715,713,708,706,710,726,119.5
610202,702,717,713,705,704,712,711,707,716,722,725,742,731,708,710,726,709,715,706,100.5
610203,711,707,722,709,712,705,716,704,702,726,713,717,715,725,731,742,710,708,706,137.5
610204,715,731,709,710,705,717,713,704,708,702,726,716,722,725,742,712,711,707,706,83.5
610205,722,709,702,717,713,704,712,708,711,705,707,725,742,715,731,716,726,706,710,90.5
610206,711,707,712,704,722,725,742,702,709,717,731,713,706,705,726,716,708,715,710,105
610207,705,716,704,717,715,731,742,712,725,722,726,713,707,709,702,708,706,711,710,125.5
610208,709,711,705,716,725,707,722,717,702,712,704,715,742,731,708,710,713,726,706,134.5
610209,711,704,709,712,716,702,722,713,707,717,715,731,725,726,742,708,710,705,706,145.5
610210,742,702,715,717,726,713,704,706,707,722,712,725,731,708,710,711,716,709,705,51.5
610211,725,722,713,710,715,706,707,742,702,717,704,708,731,726,716,712,711,709,705,114
610212,726,707,713,708,710,717,715,706,731,742,709,712,725,722,702,704,705,716,711,86
610213,711,705,742,716,731,712,715,704,726,713,708,709,702,707,717,722,725,706,710,151
610214,715,704,705,702,717,709,716,708,726,712,711,707,722,725,713,731,742,710,706,80
610215,717,704,702,713,715,710,726,708,707,711,709,712,725,742,731,722,705,716,706,100.5
610216,712,704,731,713,715,702,726,717,711,707,722,725,716,709,705,710,742,708,706,103.5
610217,707,717,722,725,712,713,708,711,704,709,716,710,731,726,715,705,702,706,742,128
610218,716,705,704,702,709,713,708,715,722,731,717,711,707,710,706,712,725,726,742,43
610219,742,707,711,712,725,722,704,702,731,708,716,705,709,715,726,717,706,710,713,115.5
610220,709,713,716,708,726,717,725,707,711,712,702,731,742,704,722,705,715,710,706,82.5
610221,707,722,704,702,713,731,715,705,708,709,710,716,726,706,712,717,725,742,711,108.5
610222,709,731,702,713,722,742,704,717,725,707,712,705,708,711,710,715,716,726,706,91
610223,717,713,715,731,702,708,726,742,722,704,712,725,707,709,716,705,710,711,706,62.5
610224,711,702,704,725,716,717,722,709,705,742,715,726,731,712,707,706,708,713,710,113
610225,707,711,717,702,704,712,713,722,725,709,715,708,731,742,710,716,705,706,726,180
610226,706,711,715,742,704,709,731,713,702,705,717,708,710,725,716,726,707,722,712,78.5
610227,731,742,712,704,709,717,715,726,702,710,708,706,705,707,711,713,725,722,716,136.5
610228,706,722,704,725,702,712,711,717,742,713,731,726,707,708,709,710,715,716,705,112.5
610229,711,705,707,704,712,708,725,722,731,742,702,709,710,715,726,717,706,716,713,151
